NCESSCH,SCHNAM
530423000683.00,Rose Hill Junior High
530423001141.00,Eastlake High School
530423001598.00,Contractual Schools
530423001784.00,Emerson High School
530423001841.00,Evergreen Junior High
530423001843.00,Northstar Middle School
530423002435.00,Inglewood Junior High
530423002568.00,International Community School
530423002725.00,Emerson K-12
530423002726.00,Environmental & Adventure School
530423002727.00,Futures School
530423003432.00,Tesla STEM High School
530456000716.00,Cedarcrest High School
530456002644.00,CLIP
530456002797.00,PARADE
530465000724.00,Mabton Jr Sr High School
530465003406.00,Mabton Jr. Sr. High
530498000761.00,Mercer Island High School
530528000798.00,White Swan High School
530537000805.00,East Valley High School
530546000825.00,Naches Valley High School
530645000953.00,Orting High School
530669000985.00,Peninsula High School
530669001793.00,Gig Harbor High
530669002463.00,Henderson Bay Alt High School
530696001022.00,Aylen Jr High
530696001023.00,Walker High School
530696001024.00,Edgemont Jr High
530696001026.00,Ballou Jr High
530696001028.00,Rogers High School
530696001032.00,Kalles Junior High
530696001038.00,Puyallup High School
530696001178.00,Stahl Junior High
530696001865.00,Ferrucci Jr High
530696002809.00,Emerald Ridge High School
530696003260.00,Glacier View Junior High
530696003315.00,Puyallup Online Academy/POA
530696003442.00,Puyallup Open Doors/POD
530723001077.00,Lindbergh Senior High School
530723001080.00,Hazen Senior High School
530723001082.00,Renton Senior High School
530723001410.00,Out Of District Facility
530723002342.00,Sartori Education Center
530723002343.00,Griffin Home
530723002721.00,H.O.M.E. Program
530723003073.00,Renton Academy
530723003400.00,Talley High School
530723003450.00,Open Door Youth Reengagement Renton
530771001138.00,Ballard High School
530771001149.00,Chief Sealth International High School
530771001150.00,Cleveland High School STEM
530771001168.00,Franklin High School
530771001171.00,Garfield High School
530771001187.00,Ingraham High School
530771001207.00,Madison Middle School
530771001222.00,Nathan Hale High School
530771001226.00,Nova High School
530771001234.00,South Lake High School
530771001236.00,Rainier Beach High School
530771001239.00,Roosevelt High School
530771001262.00,West Seattle High School
530771001311.00,Seattle World School
530771001365.00,Interagency Programs
530771002349.00,Middle College High School
530771002634.00,Education Service Centers
530771002635.00,Cascade Parent Partnership Program
530771002842.00,The Center School
530771002873.00,Residential Consortium
530771002935.00,Hutch School
530771003046.00,Private School Services
530771003505.00,Interagency Open Doors
530771003555.00,Bridges Transition
530771003615.00,SVI 1418 Re-Engagement Program
530777001282.00,Selah High School
530777001873.00,Selah Middle School
530777002149.00,Selah Academy
530777002779.00,Selah Intermediate
530792001315.00,Shorecrest High School
530792001317.00,Shorewood High School
530792002447.00,Handicapped Contractual Services
530792002646.00,Home Education Exchange
530792002912.00,Fircrest Residential Habilitation
530798001321.00,Skykomish High School
530804001330.00,Mount Si High School
530804002158.00,Two Rivers School
530804003309.00,Snoqualmie Access
530804003503.00,SVSD OPEN DOORS
530813001341.00,Foster Senior High School
530813003439.00,Youthsource
530813003650.00,Tukwila Online Learning
530846001429.00,Cherrydale Elementary
530846001807.00,Steilacoom High
530846003522.00,Futures Program
530846003656.00,Steilacoom PRIDE Academy
530861001446.00,Sumner High School
530861001447.00,Sumner Middle School
530861002998.00,Bonney Lake High School
530867001449.00,Sunnyside High School
530867003504.00,SHS Graduation Alliance
530870001466.00,Foss
530870001476.00,Lincoln
530870001488.00,Mt Tahoma
530870001502.00,Stadium
530870001507.00,Truman
530870001513.00,Wilson
530870001811.00,Oakland High School
530870002175.00,Park Avenue Center
530870002177.00,Pearl Street Center
530870002413.00,Comm Based Trans Program
530870002810.00,TCC Fresh Start
530870002846.00,Tacoma School of the Arts
530870002996.00,Home Based
530870003093.00,Day Reporting School
530870003275.00,Special Services
530870003286.00,Science and Math Institute
530870003298.00,Tacoma Business Academy
530870003313.00,Tacoma Pierce County Education Center
530870003441.00,Re-engagement Center
530870003444.00,Fresh Start
530870003456.00,Goodwill GED
530876001519.00,Tahoma Senior High School
530876002645.00,Russell Ridge Center
530876002874.00,Tahoma Jr High
530897001534.00,Toppenish High School
530897002378.00,Computer Academy Toppenish High School
530897003385.00,NW Allprep
530918001548.00,Curtis Junior High
530918001549.00,Curtis Senior High
530918002838.00,University Place Special Educ
530930001394.00,Chautauqua Elementary
530930001591.00,Vashon Island High School
530930002720.00,Family Link
530930003112.00,Student Link
530948001611.00,Pace Alternative High School
530948001617.00,Wapato High School
530972001653.00,West Valley Jr High
530972001654.00,West Valley High School
530972003340.00,West Valley High School Freshman Campus
530972003614.00,WEST VALLEY VIRTUAL ACADEMY 9-12
530972003669.00,West Valley Open Doors
530978002389.00,Collins Alternative Programs
530978003153.00,White River High School
530978003465.00,White River Reengagement Program
531011001689.00,Davis High School
531011001690.00,Eisenhower High School
531011001713.00,Stanton Academy
531011003263.00,Yakima Online
531011003324.00,Yakima Satellite Alternative Programs
531011003420.00,Ridgeview Group Home
531011003487.00,Yakima Open Doors
531017001719.00,Zillah High School
